Kundennummer;Name;Straße;PLZ;Ort;Land;Telefon;E-Mail;Notizen
A-0514;Köck;Pollenitz 6;9560;Feldkirchen in Kärnten;AT;+43 4276 48130;g.koeck@weinbau-koeck.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0515;Költringer;Neudorf 1;4984;Weilbach;AT;+43 664 8460847;office@koeltringer.net;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0516;Lamprecht;St. Franziski 50;9102;Mittertrixen;AT;+43 4231 2174;lamprecht.johann@a1.net;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0517;Lippitz;Kollnitzgreuth 1;9470;St. Paul im Lavanttal;AT;+43 4357 3443;buschenschank@lippitz.biz;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0518;Maltschnig;Lebmach 1;9556;Liebenfels;AT;+43 664 4303212;office@weingut-maltschnig.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0519;Manufaktur Metz;Einsiedl 4;4470;Enns;AT;+43 681 10753841;metz.h@gmx.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0520;Möth;Langenerstraße 5;6900;Bregenz;AT;+43 5574 47711;info@moeth.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0521;Nachbaur;Zehentstraße 4;6832;Röthis;AT;+43 5522 43251;info@weingut-nachbaur.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0522;Nussböckgut;Gaumberg 6;4060;Leonding;AT;+43 732 671954;info@nussboeckgut.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0523;Ofer;Wachsenberg 3/2;9560;Feldkirchen in Kärnten;AT;+43 676 7600726;weingut@ofer.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0524;Osternacherhof;Osternach 28/9;4974;Ort im Innkreis;AT;+43 664 5030629;office@osternacherhof.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0525;Radlerbauernhof Moser;Mitterkirchen 27;4343;Mitterkirchen;AT;+43 7269 8311;office@radlerbauernhof-moser.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0526;Reisetbauer;Zum Kirchdorfergut 1;4062;Kirchberg-Thening;AT;+43 7221 63690;office@reisetbauer.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0527;Rinnerthaler;Riedl 1;4844;Regau;AT;+43 699 11131959;rinnerthaler@weinausoberoesterreich.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0528;Vlg. Ritter;Loschental 8;9470;St. Paul im Lavanttal;AT;+43 680 3027100;wein@vulgoritter.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0529;Rogl;Urndorferstraße 18;4540;Bad Hall;AT;+43 699 14071992;office@weinbaurogl.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0530;Salbrechter Margarete;Siebenbrünnerweg 7;9300;Treffelsdorf;AT;+43 676 6518335;salbrechter@gmx.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0531;Schiefermair;Gerersdorf 11;4531;Kematen an der Krems;AT;+43 676 821261861;wein@schiefermair.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0532;Schmuckenschlager;Volkersdorf 10;4470;Enns;AT;+43 650 3908605;ennser@hofweingut.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0533;Sternberg;Feldweg 6;9241;Wernberg;AT;+43 664 1601630;winzer@sternberg-wein.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0534;Strutz;Talerweg 16;9400;Wolfsberg;AT;+43 664 4237883;petra@qualityalpaca.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0535;TERRA AUSTRIACUS;Tullenweg 25;6522;Prutz;AT;+43 664 9181601;office@terraaustriacus.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0536;Burg Taggenbrunn;Taggenbrunn 9;9300;St. Veit an der Glan;AT;+43 664 80544161;winzer@taggenbrunn.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0537;Tangl;Trujegasse 9b;6464;Tarrenz;AT;+43 5412 61142;weinhof@tangl.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0538;Tauer Johannes;Hauptstrasse 17;4866;Innerschwand;AT;+43 7665 6000;j.tauer@aon.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0539;Trattnachtaler;Am Kröpflmühlerweg 16;4707;Schlüßlberg;AT;+43 664 1331717;augustin@trattnachtaler-weinhaus.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0540;Trippelgut;Hubertusweg 4;9560;Feldkirchen in Kärnten;AT;+43 4276 93080;office@trippelgut.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0541;Vinum Virunum KG;Altglandorf 22;9300;St. Veit an der Glan;AT;+43 664 8323791;office@vinumvirunum.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0542;Vitalhof Roithinger;;4707;Schlüßlberg;AT;;;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0543;Vulini;Höchster Straße 154;6850;Dornbirn;AT;+43 664 4657638;info@vulini.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0544;W2 Bioweinbau Waltl;Dr. Wutte-Straße 14;9020;Klagenfurt am Wörthersee;AT;;office@weinbauwaltl.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0545;WEINWERK IMP;Emil-Hölzel-Weg 8;9073;Klagenfurt-Viktring;AT;;j.imp@gmx.net;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0546;Weinbaukollektiv West;Schmalzgasse 3;6835;Batschuns;AT;+43 680 2179434;post@weinbaukollektivwest.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0547;Tiroler Weinbauverband;Hattingerberg 25;6402;Hatting;AT;+43 664 4640852;info@weingut-romasi.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0548;Weingut Höckner & Höckner;;4972;Utzenaich;AT;;office@weingut-hoeckner.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0549;Weinwerkstatt Klagenfurt;Ganghofergasse 9;9020;Klagenfurt am Wörthersee;AT;+43 664 4141203;robert.passegger@chello.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0550;Werzi Alfred;Eis 110;9113;Ruden;AT;+43 664 4121250;alfred@werzi.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0551;Winzerei Weerbach;Auweg 27;6114;Kolsass;AT;;winzerei.weerbach@gmail.com;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0552;Winzerei by Dani & Hani;Untersperr 15;4644;Scharnstein;AT;+43 664 5337068;office@weinvomwinzer.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0553;Fruchtveredelung Geschwister Wurm;Weilling 10;4490;Sankt Florian;AT;+43 7224 4387;irene.wurm@wwurm.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0554;Zoller-Saumwald;Steinweg 18;6425;Haiming;AT;+43 676 3504292;wein@zoller-saumwald.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0555;lenzbauer.wine;Vordergumitsch 28;9400;Wolfsberg;AT;+43 650 4567133;office@lenzbauer.wine;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0556;vinumpaulinum - Benediktinerstift St. Paul;Hauptstraße 1;9470;St. Andrä;AT;+43 4357 201930;office@stift-stpaul.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
A-0557;vom Firdinant Hof;Dörfl 7;4491;Niederneukirchen;AT;;monika_ebner@gmx.at;Betriebsstandort: Bergland · Quelle: ÖWM-Betriebssuche (PDF-Auszug, Stand 30.08.2026)
